;Diff.;Avg. score;SD;Min.;Obs. min.;Max.;Obs. max.;Prop. max.;RIT;RIR;ULI;Rel.;\(\alpha\)-drop;Missed [%];Not-reached [%]
V6;0.783854167;4.19E-16;1.002614384;-3.620030897;-3.620030897;0.9982145;0.9982145;0.348958333;0.275062494;0.226799832;0.1484375;0.275781613;0.902246051;0;0
V7;0.692708333;-8.97E-16;1.002614384;-2.449908045;-2.449908045;1.086801313;1.086801313;0.291666667;0.409829467;0.365920192;0.271875;0.410900918;0.900508514;0;0
V8;0.3359375;-1.23E-15;1.002614384;-1.081465563;-1.081465563;2.137780764;2.137780764;0.026041667;0.366302594;0.320768363;0.244791667;0.36726025;0.901075132;0;0
V9;0.572048611;3.98E-16;1.002614384;-1.863821649;-1.863821649;1.394330915;1.394330915;0.203125;0.256058681;0.207341811;0.1328125;0.256728117;0.902487116;0;0
V10;0.635416667;3.99E-16;1.002614384;-2.423256598;-2.423256598;1.39039313;1.39039313;0.125;0.310348802;0.263033366;0.174479167;0.311160173;0.90179588;0;0
V11;0.418402778;1.76E-16;1.002614384;-1.392551864;-1.392551864;1.935704873;1.935704873;0.057291667;0.328641629;0.281870683;0.197916667;0.329500824;0.901561185;0;0
V12;0.297743056;8.96E-18;1.002614384;-0.990754473;-0.990754473;2.336794079;2.336794079;0.020833333;0.533508472;0.495380139;0.3828125;0.534903268;0.898869439;0;0
V13;0.452256944;3.92E-16;1.002614384;-1.533421137;-1.533421137;1.857176079;1.857176079;0.052083333;0.62773612;0.595192287;0.447916667;0.629377263;0.897590991;0;0
V14;0.544270833;-9.76E-17;1.002614384;-2.097388832;-2.097388832;1.756186821;1.756186821;0.0625;0.50199316;0.46222651;0.294270833;0.503305562;0.899291243;0;0
V15;0.688368056;-2.29E-16;1.002614384;-2.491211471;-2.491211471;1.127799392;1.127799392;0.244791667;0.192980031;0.143033621;0.088541667;0.193484555;0.903280433;0;0
V16;0.376736111;-2.50E-16;1.002614384;-1.404979616;-1.404979616;2.324367199;2.324367199;0.03125;0.476956935;0.435969768;0.28125;0.478203883;0.899624296;0;0
V17;0.611111111;-6.50E-16;1.002614384;-2.317394874;-2.317394874;1.474705829;1.474705829;0.125;0.391764747;0.347155486;0.200520833;0.39278897;0.900744311;0;0
V18;0.447048611;5.06E-17;1.002614384;-1.359302826;-1.359302826;1.681312427;1.681312427;0.140625;0.497143393;0.457134734;0.359375;0.498443116;0.899355899;0;0
V19;0.501736111;3.24E-16;1.002614384;-1.683450715;-1.683450715;1.671800537;1.671800537;0.09375;0.352415104;0.306406641;0.234375;0.353336452;0.901254816;0;0
V20;0.5859375;-3.18E-17;1.002614384;-2.276368907;-2.276368907;1.608634028;1.608634028;0.083333333;0.601343856;0.567131344;0.330729167;0.602916;0.897951714;0;0
V21;0.458333333;-9.87E-16;1.002614384;-1.438184991;-1.438184991;1.699673171;1.699673171;0.09375;0.537431091;0.499514665;0.375;0.538836142;0.898816738;0;0
V23;0.240625;-6.17E-16;1.002614384;-1.187523341;-1.187523341;3.747638597;3.747638597;0.005208333;0.301319215;0.25374849;0.115625;0.302106979;0.901911395;0;0
V24;0.539930556;-8.80E-16;1.002614384;-1.922869541;-1.922869541;1.638457969;1.638457969;0.0625;0.657664417;0.627112238;0.432291667;0.659383805;0.897179418;0;0
V25;0.370659722;1.66E-15;1.002614384;-1.258722036;-1.258722036;2.137174417;2.137174417;0.026041667;0.313589003;0.266367344;0.205729167;0.314408845;0.901754374;0;0
V26;0.21875;1.33E-16;1.002614384;-0.959514491;-0.959514491;3.426837468;3.426837468;0.005208333;0.448576172;0.406291563;0.244791667;0.449748922;0.899999684;0;0
V27;0.7578125;-1.40E-15;1.002614384;-3.379382971;-3.379382971;1.080008991;1.080008991;0.260416667;0.40814431;0.364168197;0.161458333;0.409211356;0.900530549;0;0
V28;0.585069444;-4.37E-16;1.002614384;-2.124967403;-2.124967403;1.50702436;1.50702436;0.083333333;0.559115957;0.522403053;0.354166667;0.560577701;0.898524587;0;0
V29;0.360243056;-7.59E-16;1.002614384;-1.261130229;-1.261130229;2.239645731;2.239645731;0.026041667;0.588504839;0.553510102;0.372395833;0.590043416;0.898126447;0;0
V30;0.244791667;-1.00E-16;1.002614384;-0.95534507;-0.95534507;2.947341174;2.947341174;0.020833333;0.216918035;0.167388134;0.161458333;0.217485142;0.902980604;0;0
V31;0.511284722;1.03E-16;1.002614384;-2.064050937;-2.064050937;1.972938332;1.972938332;0.057291667;0.327068278;0.280249061;0.130208333;0.32792336;0.901581407;0;0
V32;0.5859375;7.55E-16;1.002614384;-2.029829636;-2.029829636;1.434412943;1.434412943;0.151041667;0.525766715;0.487225359;0.309895833;0.52714127;0.898973321;0;0
V33;0.584201389;1.07E-16;1.002614384;-2.180850483;-2.180850483;1.552195218;1.552195218;0.098958333;0.133673543;0.082956676;0.046875;0.134023017;0.904016862;0;0
V34;0.579861111;9.10E-16;1.002614384;-2.094218823;-2.094218823;1.517368129;1.517368129;0.098958333;0.367525409;0.322033956;0.171875;0.368486261;0.901059285;0;0
V35;0.458333333;1.52E-16;1.002614384;-1.80838886;-1.80838886;2.137186835;2.137186835;0.026041667;0.444268721;0.401795156;0.244791667;0.44543021;0.900056458;0;0
V36;0.690972222;8.35E-16;1.002614384;-2.69633835;-2.69633835;1.205900066;1.205900066;0.21875;0.44681238;0.404450146;0.223958333;0.447980519;0.900022938;0;0
V38;0.663194444;5.54E-16;1.002614384;-2.571006474;-2.571006474;1.305694387;1.305694387;0.177083333;0.517915561;0.478962386;0.294270833;0.519269591;0.899078494;0;0
V39;0.495659722;-6.00E-17;1.002614384;-1.852422391;-1.852422391;1.884864114;1.884864114;0.041666667;0.411071412;0.3672116;0.223958333;0.412146111;0.90049227;0;0
V40;0.241319444;1.67E-16;1.002614384;-0.899511526;-0.899511526;2.827960696;2.827960696;0.020833333;0.402867113;0.358683743;0.260416667;0.403920363;0.900599501;0;0
V41;0.361979167;1.01E-15;1.002614384;-1.281682241;-1.281682241;2.259080209;2.259080209;0.020833333;0.299664801;0.252048265;0.205729167;0.300448239;0.901932536;0;0
V42;0.2578125;-2.02E-16;1.002614384;-0.896536624;-0.896536624;2.580938765;2.580938765;0.046875;0.496912137;0.456892006;0.315104167;0.498211256;0.89935898;0;0
V43;0.150173611;3.51E-16;1.002614384;-0.668202743;-0.668202743;3.781332284;3.781332284;0.010416667;0.528208838;0.489797024;0.263020833;0.529589778;0.898940571;0;0
V44;0.544270833;3.32E-16;1.002614384;-1.661785926;-1.661785926;1.391447546;1.391447546;0.145833333;0.517050253;0.478052122;0.348958333;0.51840202;0.899090075;0;0
V45;0.433159722;-8.33E-16;1.002614384;-1.269958577;-1.269958577;1.661889681;1.661889681;0.078125;0.628837031;0.596364585;0.466145833;0.630481052;0.897575899;0;0
V46;0.5078125;-1.15E-16;1.002614384;-1.58379634;-1.58379634;1.535064144;1.535064144;0.09375;0.30279919;0.255269698;0.2265625;0.303590823;0.901892477;0;0
V47;0.263888889;-1.43E-16;1.002614384;-0.934928879;-0.934928879;2.607959506;2.607959506;0.026041667;0.423405885;0.38004669;0.2890625;0.424512831;0.900330705;0;0
V49;0.270833333;-2.90E-16;1.002614384;-0.947283027;-0.947283027;2.55037738;2.55037738;0.005208333;0.489191905;0.448792268;0.3203125;0.490470841;0.89946176;0;0
V50;0.34375;-1.44E-15;1.002614384;-1.080757689;-1.080757689;2.063264679;2.063264679;0.052083333;0.586619575;0.551511599;0.4140625;0.588153223;0.898152064;0;0
V51;0.182291667;-7.67E-16;1.002614384;-0.694420752;-0.694420752;3.114973088;3.114973088;0.010416667;0.474758699;0.433667777;0.286458333;0.475999901;0.899653453;0;0
V52;0.181423611;-5.81E-16;1.002614384;-0.705184235;-0.705184235;3.181764275;3.181764275;0.010416667;0.528521748;0.490126582;0.322916667;0.529903506;0.898936373;0;0
V53;0.172743056;-6.35E-16;1.002614384;-0.65774792;-0.65774792;3.149918432;3.149918432;0.015625;0.533734237;0.495618052;0.34375;0.535129623;0.898866407;0;0
Note: Estimate (SD) of Cronbach's alpha for the test as a whole is: 0.9 (0.44).;;;;;;;;;;;;;;;
