Sex,Age,AI,Experience,Counts,我会为了购买他/她喜欢的东西，不惜花费超出我经济承受范围的钱。,我为了和他/她约会，不惜花费超出我经济承受范围的钱。,我会为了陪伴他/她，而经常推掉推迟或取消自己的其他计划。,分手后，我依然会找各种机会与他/她进行沟通和交流情感问题。,我会在他/她的工作学习中提出自己的解决方案，即使他/她表示不需要建议。,我会在他/她，本题请选择非常认同。,我会在他/她遇到小问题时立刻介入，即使这些问题他/她可以轻松解决。,分手后，我尝试通过各种方式与他/她保持日常的联系，即使他/她已经明确表示希望保持距离。,我会在他/她处理与朋友或家人的关系时插手，试图用自己的方式解决问题。,分手后，我会尝试购买他/她喜欢但超出我经济能力的礼物来挽回这段感情。,我会为了有时间陪伴他/她，而压缩自己十分重视的爱好和兴趣的时间。,我会在他/她进行个人财务管理时提供帮助，即使他/她表示不需要帮助。,分手后，我会为了试图挽回他/她，通过共同的朋友或社交圈对他/她施加影响。,分手后，我会经常在社交媒体通过各种方式表达对他/她的依恋。,如果我尽力去做的话，我总是能够解决问题的。,即使别人反对我，我仍有办法取得我所要的。,对我来说，坚持理想和达成目标是轻而易举的。,以我的才智，我定能应付意料之外的情况。,如果我付出必要的努力，我一定能解决大多数的难题。,我自信能有效地应付任何突如其来的事情。,我能冷静地面对困难，因为我可信赖自己处理问题的能力。,面对一个难题时，我通常能找到几个解决方法。,无论什么事在我身上发生，我都能够应付自如。,有麻烦的时候，我通常能想到一些应付的方法。,我害怕其他人比我有更多精彩的经历、收获。,我害怕我的朋友比我有更多精彩的经历、收获。,当我发现我的朋友玩得很开心的时候没有我，我会感到烦恼。,当我不知道我的朋友在忙什么时，我会感到焦虑。,当我错过了和朋友见面的机会时，我会感到烦恼。,当我玩得开心时，在线与大家分享发生的事对我来说很重要(比如，更新状态)。,当我错过一个已经计划好的聚会时，我会感到烦恼。,当我外出旅行时，我仍密切关注朋友的最新动向。,overinvolvement_retrieve,overinvolvement_sacrify,overinvolvement_interfer,overinvolvement,GSES,FoMOs_information,FoMOs_episode,FoMOs,File_1,File_2,File_3,File
2,20,0,1,A.0(现在是初恋）,1,1,1,1,2,7,1,1,1,1,1,1,1,2,2,1,1,4,2,2,3,3,3,3,4,4,4,4,4,4,4,1,1.2,1.0,1.25,1.1538461538461537,2.4,4.0,3.25,3.625,0.0,1.0,0.0,2
2,20,0,0,,2,2,4,3,2,7,2,2,3,1,3,3,2,1,4,4,3,3,4,3,2,3,2,4,3,3,3,4,3,4,4,4,1.8,2.75,2.5,2.3076923076923075,3.2,3.25,3.75,3.5,0.0,1.0,0.0,2
1,22,0,2,B.1,1,1,2,4,3,7,3,5,6,3,3,1,5,1,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,3.6,1.75,3.25,2.923076923076923,4.9,1.0,1.75,1.375,0.0,0.993,0.007,2
2,20,0,1,B.1,5,7,5,1,2,7,5,1,1,1,6,2,1,2,5,5,4,4,5,4,5,5,4,5,2,2,1,1,2,1,2,1,1.2,5.75,2.5,3.0,4.6,1.5,1.5,1.5,1.0,0.0,0.0,1
1,20,0,0,,2,2,2,1,3,7,5,3,2,1,5,3,1,1,4,4,3,3,5,2,3,3,2,4,3,3,3,4,5,2,5,4,1.4,2.75,3.25,2.3846153846153846,3.3,3.25,4.0,3.625,0.001,0.999,0.0,2
2,21,0,2,E.>3,5,6,6,7,2,7,3,2,1,6,3,1,1,5,4,5,4,1,2,1,1,4,2,2,4,4,5,1,1,1,5,1,4.2,5.0,1.75,3.6923076923076925,2.6,3.5,2.0,2.75,0.0,0.0,1.0,3
2,21,0,0,,1,1,5,1,7,7,3,1,1,1,4,1,1,3,5,4,4,5,5,5,5,4,4,4,2,3,4,2,2,2,3,2,1.4,2.75,3.0,2.3076923076923075,4.5,2.75,2.25,2.5,0.0,1.0,0.0,2
1,18,1,0,,6,1,4,6,1,7,1,1,1,1,6,2,1,1,4,4,5,4,5,5,5,5,5,5,3,3,4,4,4,5,4,3,2.0,4.25,1.25,2.4615384615384617,4.7,3.5,4.0,3.75,0.008,0.992,0.0,2
2,18,0,1,B.1,7,6,2,1,6,7,6,1,2,1,2,3,1,1,4,4,3,3,4,3,4,1,3,4,1,1,2,1,1,1,1,2,1.0,4.25,4.25,3.0,3.3,1.25,1.25,1.25,1.0,0.0,0.0,1
2,18,0,1,B.1,7,6,6,2,6,7,6,1,2,1,1,3,1,1,4,4,3,3,4,3,4,1,3,3,1,1,2,1,1,1,1,2,1.2,5.0,4.25,3.3076923076923075,3.2,1.25,1.25,1.25,1.0,0.0,0.0,1
1,20,0,0,,3,3,5,4,4,7,5,2,2,2,6,2,3,1,4,4,2,3,5,3,5,4,3,4,1,1,2,2,4,4,3,4,2.4,4.25,3.25,3.230769230769231,3.7,1.5,3.75,2.625,0.405,0.595,0.0,2
1,17,1,2,C.2,1,1,3,5,1,7,2,4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,2,2,3,3,4,3,4,2.4,1.5,1.25,1.7692307692307692,5.0,2.25,3.5,2.875,0.0,1.0,0.0,2
2,20,0,2,B.1,7,7,7,3,1,7,1,3,1,7,7,1,1,3,5,5,3,4,5,5,5,5,5,5,1,1,4,4,5,5,5,5,3.4,7.0,1.0,3.769230769230769,4.7,2.5,5.0,3.75,0.995,0.0,0.005,1
1,30,1,0,,4,3,5,2,4,7,4,1,3,1,4,5,1,1,4,2,5,3,4,3,4,4,5,5,4,2,4,4,5,5,5,5,1.2,4.0,4.0,2.923076923076923,3.9,3.5,5.0,4.25,0.753,0.247,0.0,1
2,20,0,2,B.1,2,2,5,5,3,7,6,4,1,3,6,4,5,6,3,2,2,2,4,2,2,3,2,4,3,2,3,4,4,4,2,2,4.6,3.75,3.5,4.0,2.6,3.0,3.0,3.0,0.0,0.0,1.0,3
2,20,0,1,A.0(现在是初恋）,5,5,7,1,2,7,2,1,1,1,7,2,1,1,5,4,3,4,4,4,5,5,2,5,2,1,2,1,5,1,1,1,1.0,6.0,1.75,2.769230769230769,4.1,1.5,2.0,1.75,0.999,0.001,0.0,1
1,23,1,0,,6,5,7,5,3,7,5,3,4,4,7,5,5,3,4,3,2,4,4,3,4,2,3,4,3,2,1,2,3,4,1,4,4.0,6.25,4.25,4.769230769230769,3.3,2.0,3.0,2.5,0.0,0.0,1.0,3
2,19,0,2,B.1,3,3,5,1,5,7,5,1,1,1,6,1,1,1,5,5,4,4,4,4,4,4,4,4,1,1,1,1,4,1,5,1,1.0,4.25,3.0,2.6153846153846154,4.2,1.0,2.75,1.875,0.232,0.768,0.0,2
1,19,0,1,B.1,6,6,7,1,6,7,4,1,1,1,2,1,1,1,5,4,3,3,1,2,3,3,5,5,1,1,1,1,5,5,5,2,1.0,5.25,3.0,2.923076923076923,3.4,1.0,4.25,2.625,1.0,0.0,0.0,1
2,20,0,2,C.2,4,3,5,1,2,7,4,1,2,1,3,1,2,1,3,4,4,5,5,5,5,5,4,5,4,4,2,1,3,3,4,3,1.2,3.75,2.25,2.3076923076923075,4.5,2.75,3.25,3.0,0.105,0.895,0.0,2
2,23,0,2,B.1,5,4,4,1,4,7,4,1,4,1,3,3,1,1,3,3,2,3,2,2,3,3,3,3,2,2,3,2,2,4,3,4,1.0,4.0,3.75,2.769230769230769,2.7,2.25,3.25,2.75,0.916,0.084,0.0,1
2,20,0,0,,4,2,4,1,1,7,1,1,1,1,4,1,1,1,4,4,4,3,4,3,4,4,2,4,4,3,3,4,3,2,2,2,1.0,3.5,1.0,1.7692307692307692,3.6,3.5,2.25,2.875,0.001,0.999,0.0,2
2,20,0,0,,2,2,4,1,1,7,2,1,1,1,2,1,1,1,4,4,3,3,4,3,3,4,3,4,4,4,2,3,1,1,4,2,1.0,2.5,1.25,1.5384615384615385,3.5,3.25,2.0,2.625,0.0,1.0,0.0,2
2,20,0,0,,2,2,4,1,2,7,2,1,1,1,2,1,3,1,4,4,4,4,5,5,5,4,4,4,3,1,4,2,3,5,3,1,1.4,2.5,1.5,1.7692307692307692,4.3,2.5,3.0,2.75,0.0,1.0,0.0,2
2,23,0,1,A.0(现在是初恋）,2,2,4,1,4,7,2,1,4,1,4,1,1,1,5,4,3,4,4,4,4,4,4,4,4,4,1,1,4,5,5,4,1.0,3.0,2.75,2.1538461538461537,4.0,2.5,4.5,3.5,0.0,1.0,0.0,2
1,17,1,2,C.2,7,7,7,6,7,7,7,5,6,3,7,7,7,4,5,5,5,5,5,5,5,5,5,5,1,2,4,4,3,5,4,5,5.0,7.0,6.75,6.153846153846154,5.0,2.75,4.25,3.5,0.0,0.0,1.0,3
1,19,0,1,D.3,2,4,5,5,6,7,5,6,6,2,6,2,6,6,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3,4,3,5.0,4.25,4.75,4.6923076923076925,3.3,4.0,3.5,3.75,0.0,0.0,1.0,3
2,27,0,2,E.>3,4,4,4,2,2,7,1,2,2,1,2,2,2,1,2,2,3,2,4,3,4,4,4,4,1,1,3,3,3,3,1,4,1.6,3.5,1.75,2.230769230769231,3.2,2.0,2.75,2.375,0.028,0.972,0.0,2
2,20,0,2,C.2,3,3,5,1,5,7,5,1,4,1,3,3,1,1,4,4,3,3,4,3,4,3,3,4,3,3,4,4,4,4,4,4,1.0,3.5,4.25,2.769230769230769,3.5,3.5,4.0,3.75,0.239,0.761,0.0,2
2,22,0,1,C.2,5,4,4,5,5,7,3,5,3,6,5,3,4,6,4,4,4,3,5,4,4,4,3,4,5,4,5,4,4,4,4,2,5.2,4.5,3.5,4.461538461538462,3.9,4.5,3.5,4.0,0.0,0.0,1.0,3
2,20,0,2,C.2,3,3,3,5,5,7,5,6,4,1,4,4,6,6,2,4,3,2,2,2,2,4,2,4,4,4,4,4,2,4,3,4,4.8,3.25,4.5,4.230769230769231,2.7,4.0,3.25,3.625,0.0,0.0,1.0,3
2,20,0,0,,5,4,5,2,2,7,7,1,3,1,5,6,1,1,4,3,3,3,4,2,2,3,2,3,3,1,1,3,4,4,4,1,1.2,4.75,4.5,3.3076923076923075,2.9,2.0,3.25,2.625,1.0,0.0,0.0,1
2,20,0,0,,4,4,5,1,2,7,5,1,1,1,6,1,1,1,4,3,1,3,3,3,3,3,3,4,4,4,2,2,2,4,3,1,1.0,4.75,2.25,2.5384615384615383,3.0,3.0,2.5,2.75,0.911,0.089,0.0,1
2,20,0,2,B.1,3,2,3,1,3,7,3,1,1,1,3,3,1,1,3,3,2,3,2,3,3,3,4,4,2,2,2,2,4,4,4,3,1.0,2.75,2.5,2.0,3.0,2.0,3.75,2.875,0.001,0.999,0.0,2
2,20,0,0,,5,4,5,2,6,7,3,1,1,1,3,4,1,1,4,3,2,2,4,3,4,3,2,4,1,2,1,3,4,3,1,3,1.2,4.25,3.5,2.8461538461538463,3.1,1.75,2.75,2.25,0.938,0.062,0.0,1
2,20,0,0,,2,2,4,1,5,7,2,1,2,1,1,1,1,1,4,3,2,2,4,2,3,2,1,3,4,2,3,4,4,3,4,4,1.0,2.25,2.5,1.8461538461538463,2.6,3.25,3.75,3.5,0.0,1.0,0.0,2
2,18,0,2,B.1,2,2,2,1,3,7,2,1,1,1,3,2,1,1,2,2,2,2,4,2,2,2,2,3,2,1,4,3,4,4,2,1,1.0,2.25,2.0,1.6923076923076923,2.3,2.5,2.75,2.625,0.0,1.0,0.0,2
2,19,0,0,,2,2,2,1,1,7,1,1,1,1,2,1,1,1,3,3,3,2,3,1,1,1,1,2,4,3,1,3,4,5,5,3,1.0,2.0,1.0,1.3076923076923077,2.0,2.75,4.25,3.5,0.0,1.0,0.0,2
2,21,0,2,C.2,2,2,3,2,5,7,6,2,1,1,2,4,3,1,4,2,2,2,3,3,3,4,2,4,2,2,2,4,3,4,4,2,1.8,2.25,4.0,2.6153846153846154,2.9,2.5,3.25,2.875,0.001,0.999,0.0,2
1,21,0,2,C.2,5,5,2,2,5,7,2,1,5,1,2,3,1,1,5,5,4,5,5,5,5,5,5,5,3,2,4,2,5,1,4,1,1.2,3.5,3.75,2.6923076923076925,4.9,2.75,2.75,2.75,0.639,0.361,0.0,1
2,20,0,2,C.2,2,2,4,1,2,7,5,1,3,1,3,1,1,1,3,2,2,2,3,3,3,4,3,4,2,2,3,2,4,3,5,3,1.0,2.75,2.75,2.076923076923077,2.9,2.25,3.75,3.0,0.001,0.999,0.0,2
2,20,0,1,E.>3,4,5,2,1,7,7,3,1,1,1,1,1,1,1,3,5,3,5,4,5,5,3,3,4,5,5,5,5,5,5,5,1,1.0,3.0,3.0,2.230769230769231,4.0,5.0,4.0,4.5,0.075,0.925,0.0,2
1,20,0,2,B.1,4,4,2,6,5,7,1,1,1,1,1,1,1,1,5,5,4,4,4,4,3,3,3,3,2,2,3,3,4,2,3,1,2.0,2.75,2.0,2.230769230769231,3.8,2.5,2.5,2.5,0.001,0.999,0.0,2
2,20,0,0,,1,1,1,1,2,7,3,1,1,1,1,1,1,1,3,3,2,2,2,2,2,3,2,2,4,4,4,3,3,2,3,2,1.0,1.0,1.75,1.2307692307692308,2.3,3.75,2.5,3.125,0.0,1.0,0.0,2
1,20,0,1,A.0(现在是初恋）,6,6,6,7,5,7,3,7,7,5,7,4,6,3,4,4,5,4,5,4,5,5,5,5,3,3,4,5,4,5,5,3,5.6,6.25,4.75,5.538461538461538,4.6,3.75,4.25,4.0,0.0,0.0,1.0,3
1,20,0,2,B.1,4,5,6,1,1,7,3,1,1,1,5,4,1,1,4,4,3,4,4,4,4,3,4,4,2,1,4,3,5,4,4,4,1.0,5.0,2.25,2.6153846153846154,3.8,2.5,4.25,3.375,0.993,0.007,0.0,1
1,21,0,0,,2,2,5,7,4,7,6,2,4,1,6,2,1,1,4,4,3,3,4,2,4,3,2,3,4,4,4,2,4,4,5,2,2.4,3.75,4.0,3.3076923076923075,3.2,3.5,3.75,3.625,0.027,0.973,0.0,2
1,22,0,1,A.0(现在是初恋）,5,5,6,3,3,7,4,2,3,5,5,2,2,1,4,4,3,4,4,4,4,3,3,5,4,3,2,1,4,1,4,4,2.6,5.25,3.0,3.5384615384615383,3.8,2.5,3.25,2.875,1.0,0.0,0.0,1
2,20,0,0,,1,1,1,1,4,7,4,1,1,1,4,1,1,1,4,4,3,4,4,2,4,4,2,4,1,1,1,1,3,4,1,1,1.0,1.75,2.5,1.6923076923076923,3.5,1.0,2.25,1.625,0.0,1.0,0.0,2
1,20,0,0,,4,3,5,3,2,7,3,2,2,1,5,3,2,1,4,4,3,4,4,4,4,4,4,4,1,1,1,2,2,3,3,3,1.8,4.25,2.5,2.769230769230769,3.9,1.25,2.75,2.0,0.3,0.7,0.0,2
2,21,0,1,D.3,2,2,5,1,4,7,3,1,4,1,6,3,1,1,4,4,3,3,2,2,4,4,3,4,1,1,3,1,1,3,4,2,1.0,3.75,3.5,2.6153846153846154,3.3,1.5,2.5,2.0,0.007,0.993,0.0,2
1,20,0,1,A.0(现在是初恋）,1,1,5,1,7,7,2,1,4,1,3,5,1,1,4,4,3,3,5,3,5,5,4,5,1,1,2,1,4,3,4,4,1.0,2.5,4.5,2.5384615384615383,4.1,1.25,3.75,2.5,0.0,1.0,0.0,2
2,21,0,0,,3,4,5,2,1,7,3,1,1,3,1,1,1,2,3,3,2,2,3,3,3,4,3,4,2,2,3,2,4,5,5,4,1.8,3.25,1.5,2.1538461538461537,3.0,2.25,4.5,3.375,0.047,0.953,0.0,2
2,20,0,1,D.3,4,7,5,1,6,7,6,1,6,1,1,1,1,2,4,4,3,3,5,4,4,5,3,4,4,4,5,4,4,5,4,2,1.2,4.25,4.75,3.230769230769231,3.9,4.25,3.75,4.0,1.0,0.0,0.0,1
2,21,0,2,C.2,4,4,5,4,3,7,3,2,2,2,4,3,5,4,3,4,3,3,3,3,3,3,3,3,2,2,4,3,4,3,3,2,3.4,4.25,2.75,3.4615384615384617,3.1,2.75,3.0,2.875,0.013,0.003,0.983,3
2,20,0,0,,1,1,1,1,4,7,5,1,4,1,1,1,1,5,5,3,3,3,4,4,5,4,3,5,4,2,2,3,2,3,3,4,1.8,1.0,3.5,2.076923076923077,3.9,2.75,3.0,2.875,0.0,1.0,0.0,2
