V6,V8,V9,V10,V12,V14,V15,V16,V18,V19,V22,V23,V24
0.266851926,-0.599426474,0.519476041,0.36322254,0.297593959,0.891572793,1.307956238,0.748327961,-0.098822382,1.402624459,1.010634874,0.978090088,0.45524992
-0.283324267,1.769904204,1.676176027,0.909692488,-0.819219326,0.891572793,-0.792319644,1.301295968,0.965909088,-0.294754415,2.089075921,2.104580052,-0.688009278
0.81702812,1.177571534,1.676176027,0.36322254,0.856000602,0.891572793,0.782887267,1.301295968,0.433543353,1.402624459,1.549855397,0.414845106,2.741768316
0.81702812,-0.007093804,1.097826034,-0.183247408,0.856000602,-0.756685396,2.358094179,0.748327961,0.965909088,1.402624459,0.47141435,2.104580052,1.026879519
2.4675567,1.177571534,-0.058873951,2.002632383,1.972813887,1.990411586,0.782887267,0.748327961,2.030640558,0.836831501,1.010634874,-0.148399875,2.170138717
0.81702812,-0.007093804,0.519476041,2.002632383,0.297593959,0.891572793,2.358094179,0.195359954,0.965909088,1.402624459,0.47141435,-0.148399875,2.170138717
2.4675567,-0.599426474,1.097826034,0.36322254,1.414407245,-0.207266,2.358094179,0.195359954,0.433543353,0.836831501,1.549855397,0.414845106,1.026879519
2.4675567,1.769904204,-0.058873951,2.002632383,2.53122053,1.990411586,1.833025209,1.854263974,2.030640558,0.271038543,2.089075921,0.414845106,0.45524992
-0.833500461,1.177571534,0.519476041,1.456162435,-0.260812683,-0.207266,0.257818297,0.748327961,0.433543353,0.271038543,-0.067806174,0.414845106,0.45524992
-0.283324267,0.585238865,0.519476041,0.909692488,-0.819219326,0.891572793,-0.792319644,0.748327961,1.498274823,1.402624459,1.549855397,2.104580052,0.45524992
1.367204313,1.177571534,0.519476041,2.002632383,0.856000602,-1.306104793,1.307956238,1.301295968,0.433543353,-0.294754415,-0.067806174,0.978090088,1.026879519
0.266851926,1.177571534,-0.637223944,-0.729717355,-0.260812683,-0.207266,1.307956238,1.301295968,-1.163553852,1.402624459,-1.146247221,1.54133507,-0.116379679
-0.833500461,-1.191759143,-1.215573937,-0.729717355,-0.819219326,-1.306104793,-0.792319644,-1.463544065,-1.163553852,-0.860547373,-0.607026697,-1.274889839,-0.688009278
0.81702812,-0.599426474,1.676176027,0.909692488,0.297593959,0.891572793,1.307956238,1.301295968,1.498274823,0.836831501,1.549855397,-0.148399875,2.170138717
1.367204313,1.177571534,1.676176027,0.909692488,1.414407245,1.990411586,0.782887267,0.748327961,2.030640558,1.402624459,0.47141435,1.54133507,1.026879519
1.367204313,1.177571534,1.676176027,0.909692488,1.972813887,0.891572793,1.833025209,0.748327961,1.498274823,1.402624459,2.089075921,1.54133507,2.170138717
1.367204313,1.177571534,1.676176027,0.909692488,1.414407245,1.44099219,1.833025209,0.748327961,1.498274823,1.402624459,2.089075921,1.54133507,2.170138717
-0.283324267,-0.599426474,0.519476041,2.002632383,2.53122053,1.990411586,2.358094179,1.301295968,2.030640558,1.402624459,1.549855397,0.414845106,2.170138717
-0.283324267,-1.191759143,1.097826034,-0.729717355,1.414407245,0.891572793,0.257818297,1.301295968,1.498274823,0.836831501,-0.067806174,0.978090088,2.741768316
1.367204313,0.585238865,1.097826034,0.36322254,0.297593959,1.44099219,0.257818297,0.748327961,-1.163553852,-0.294754415,1.010634874,1.54133507,-0.116379679
1.917380507,0.585238865,1.676176027,1.456162435,2.53122053,1.44099219,2.358094179,1.854263974,-1.163553852,1.402624459,1.010634874,2.104580052,-0.688009278
1.367204313,0.585238865,1.676176027,1.456162435,1.414407245,0.891572793,2.358094179,1.301295968,0.965909088,1.968417417,2.089075921,0.978090088,2.170138717
1.367204313,-0.599426474,0.519476041,-0.729717355,0.297593959,1.44099219,-0.267250674,1.301295968,0.965909088,1.968417417,-0.067806174,0.978090088,1.026879519
1.367204313,1.177571534,1.097826034,0.909692488,1.414407245,1.44099219,2.358094179,0.748327961,0.965909088,1.968417417,1.549855397,2.104580052,1.598509118
-0.283324267,0.585238865,1.097826034,0.36322254,1.414407245,0.891572793,0.257818297,1.301295968,-0.098822382,-0.294754415,1.010634874,1.54133507,0.45524992
0.81702812,0.585238865,1.676176027,0.36322254,0.856000602,0.342153397,2.358094179,0.195359954,0.433543353,1.402624459,2.089075921,0.414845106,2.170138717
0.266851926,0.585238865,0.519476041,0.909692488,0.297593959,0.891572793,-0.792319644,1.301295968,0.965909088,-0.860547373,1.010634874,0.978090088,-0.688009278
2.4675567,1.177571534,0.519476041,2.002632383,2.53122053,1.44099219,1.307956238,1.854263974,1.498274823,1.402624459,2.089075921,0.978090088,2.170138717
2.4675567,0.585238865,1.676176027,1.456162435,1.414407245,0.891572793,2.358094179,1.301295968,0.965909088,1.968417417,1.549855397,0.978090088,2.741768316
-0.833500461,-0.007093804,0.519476041,-0.729717355,-0.819219326,0.342153397,-0.792319644,-1.463544065,-0.098822382,-0.860547373,1.010634874,-0.148399875,-0.688009278
-0.833500461,-0.599426474,-0.637223944,0.36322254,-0.819219326,-0.756685396,-0.267250674,-0.910576059,0.433543353,-0.860547373,-0.607026697,-0.711644857,-0.688009278
-0.833500461,0.585238865,0.519476041,0.36322254,0.297593959,1.44099219,-0.792319644,0.195359954,-1.163553852,-0.860547373,1.010634874,-0.711644857,-0.688009278
-0.833500461,-1.784091812,-1.793923929,-1.276187303,-0.819219326,-1.306104793,-0.792319644,-1.463544065,-1.163553852,-0.860547373,-1.146247221,-1.274889839,-0.688009278
-0.283324267,-0.599426474,-0.058873951,-0.183247408,-0.260812683,-0.756685396,-0.267250674,-0.357608052,-0.098822382,-0.860547373,-0.607026697,0.978090088,-0.688009278
2.4675567,-0.007093804,0.519476041,0.36322254,1.414407245,0.342153397,1.833025209,1.301295968,0.965909088,1.402624459,1.010634874,0.978090088,2.741768316
-0.833500461,-1.784091812,-1.793923929,-1.276187303,-0.819219326,-0.756685396,-0.792319644,-0.910576059,-1.163553852,-0.860547373,-1.146247221,-1.274889839,-0.688009278
-0.833500461,-0.007093804,-0.058873951,0.36322254,-0.819219326,-0.207266,-0.792319644,-0.910576059,-0.098822382,-0.860547373,-1.146247221,-0.148399875,-0.688009278
-0.833500461,-0.599426474,1.097826034,0.909692488,-0.819219326,-0.756685396,-0.792319644,-0.910576059,0.965909088,-0.860547373,-1.146247221,-0.148399875,-0.688009278
-0.833500461,-0.599426474,-0.637223944,-0.183247408,-0.819219326,0.891572793,-0.792319644,-0.910576059,-1.163553852,-0.860547373,-1.146247221,-1.274889839,-0.688009278
-0.283324267,-0.599426474,-0.637223944,-0.729717355,-0.260812683,-1.306104793,-0.792319644,-1.463544065,-1.163553852,-0.860547373,-0.607026697,-1.274889839,-0.688009278
-0.833500461,-0.599426474,-1.793923929,-1.276187303,-0.819219326,-1.306104793,-0.792319644,-1.463544065,-1.163553852,-0.860547373,-1.146247221,-1.274889839,-0.688009278
-0.833500461,-1.191759143,-1.215573937,-1.276187303,-0.260812683,-0.756685396,-0.792319644,-1.463544065,-1.163553852,-0.860547373,-1.146247221,-1.274889839,-0.688009278
-0.283324267,-0.007093804,-0.058873951,0.36322254,1.414407245,0.891572793,0.257818297,-0.357608052,-0.098822382,1.402624459,-1.146247221,0.414845106,1.026879519
1.367204313,1.177571534,-0.637223944,-0.183247408,1.972813887,0.891572793,1.307956238,0.748327961,1.498274823,1.402624459,1.549855397,0.414845106,2.170138717
-0.833500461,-1.191759143,-1.215573937,-0.729717355,1.414407245,-1.306104793,2.358094179,0.195359954,-1.163553852,-0.860547373,-0.607026697,-0.711644857,-0.116379679
-0.833500461,-0.007093804,-0.058873951,0.909692488,-0.819219326,-0.207266,-0.792319644,-0.910576059,-0.098822382,-0.860547373,0.47141435,-1.274889839,-0.688009278
0.266851926,-0.599426474,-0.637223944,-0.183247408,0.856000602,0.342153397,1.307956238,0.195359954,-0.098822382,0.836831501,0.47141435,0.978090088,1.026879519
-0.833500461,0.585238865,0.519476041,0.36322254,0.297593959,0.342153397,-0.792319644,1.301295968,-0.098822382,-0.860547373,2.089075921,0.414845106,-0.688009278
0.266851926,0.585238865,1.097826034,-0.729717355,-0.260812683,1.44099219,-0.267250674,0.748327961,-0.631188117,-0.860547373,-0.067806174,-0.711644857,-0.688009278
-0.833500461,-0.599426474,-1.215573937,-1.276187303,-0.819219326,-1.306104793,-0.792319644,-0.910576059,-1.163553852,-0.860547373,-1.146247221,-1.274889839,-0.688009278
0.266851926,1.177571534,1.097826034,2.002632383,0.297593959,-0.207266,0.782887267,0.748327961,0.965909088,0.271038543,1.010634874,0.414845106,0.45524992
-0.833500461,1.177571534,1.097826034,-0.729717355,-0.819219326,0.342153397,-0.792319644,0.195359954,-0.631188117,-0.860547373,0.47141435,0.414845106,-0.688009278
-0.833500461,-0.007093804,-0.637223944,-0.183247408,-0.819219326,-1.306104793,-0.792319644,-1.463544065,-0.098822382,-0.860547373,-1.146247221,-1.274889839,-0.688009278
-0.833500461,-1.784091812,-1.793923929,0.36322254,-0.819219326,-1.306104793,-0.792319644,-1.463544065,-1.163553852,-0.860547373,-1.146247221,-1.274889839,-0.688009278
1.367204313,-0.007093804,0.519476041,1.456162435,-0.819219326,0.342153397,1.307956238,-1.463544065,1.498274823,-0.860547373,-1.146247221,-1.274889839,2.170138717
0.81702812,1.177571534,1.097826034,-0.183247408,-0.819219326,-0.756685396,-0.792319644,1.301295968,-0.631188117,-0.294754415,0.47141435,0.414845106,-0.688009278
-0.833500461,-0.007093804,-0.058873951,-0.183247408,-0.819219326,-1.306104793,-0.792319644,-1.463544065,-0.631188117,-0.860547373,-0.607026697,-1.274889839,-0.688009278
0.81702812,1.177571534,1.097826034,-0.183247408,-0.260812683,-0.207266,-0.267250674,1.854263974,-0.098822382,1.968417417,2.089075921,1.54133507,0.45524992
-0.833500461,-0.007093804,-1.215573937,-1.276187303,-0.819219326,0.342153397,-0.267250674,0.195359954,-1.163553852,-0.294754415,-1.146247221,-0.148399875,-0.688009278
0.81702812,-0.007093804,-0.637223944,-0.183247408,-0.819219326,-0.207266,-0.792319644,-0.357608052,-0.098822382,-0.860547373,-0.067806174,-0.148399875,-0.688009278
-0.283324267,-1.191759143,-0.637223944,-1.276187303,-0.260812683,-0.756685396,-0.267250674,-0.357608052,-1.163553852,0.836831501,-1.146247221,-1.274889839,-0.116379679
-0.833500461,-0.007093804,-0.058873951,-1.276187303,-0.260812683,0.342153397,-0.792319644,-0.910576059,-0.631188117,-0.860547373,0.47141435,1.54133507,-0.688009278
-0.283324267,-1.191759143,-0.058873951,-0.183247408,-0.260812683,0.891572793,-0.792319644,1.301295968,-1.163553852,-0.860547373,-1.146247221,1.54133507,-0.688009278
0.266851926,0.585238865,0.519476041,1.456162435,0.297593959,0.342153397,-0.792319644,-0.357608052,0.965909088,-0.294754415,1.010634874,-1.274889839,-0.116379679
0.81702812,1.177571534,1.097826034,1.456162435,0.856000602,-0.756685396,0.782887267,0.748327961,1.498274823,0.836831501,1.010634874,2.104580052,1.026879519
-0.833500461,-0.599426474,-0.637223944,-0.729717355,-0.819219326,-0.756685396,-0.792319644,-0.910576059,-1.163553852,-0.860547373,-0.607026697,-1.274889839,-0.688009278
-0.283324267,0.585238865,0.519476041,1.456162435,-0.260812683,0.891572793,-0.267250674,0.748327961,0.965909088,0.271038543,1.010634874,0.978090088,1.026879519
-0.283324267,-0.007093804,0.519476041,1.456162435,-0.819219326,1.44099219,-0.792319644,-0.910576059,0.965909088,-0.860547373,-0.067806174,-0.711644857,-0.688009278
-0.833500461,-0.007093804,-0.637223944,-0.729717355,-0.819219326,0.342153397,-0.792319644,0.195359954,-1.163553852,-0.860547373,0.47141435,-0.148399875,-0.688009278
-0.283324267,-1.191759143,-1.215573937,-0.729717355,-0.260812683,-0.756685396,-0.267250674,-0.910576059,-0.631188117,0.271038543,-0.607026697,-0.711644857,-0.116379679
0.266851926,0.585238865,-0.058873951,-0.183247408,1.972813887,-0.207266,1.307956238,-0.357608052,-0.098822382,-0.294754415,1.010634874,-0.148399875,0.45524992
-0.833500461,0.585238865,0.519476041,-1.276187303,-0.819219326,-1.306104793,-0.792319644,-0.357608052,-1.163553852,-0.860547373,-0.067806174,-0.711644857,-0.688009278
-0.833500461,-1.191759143,-1.215573937,-1.276187303,-0.260812683,-1.306104793,0.782887267,-1.463544065,-1.163553852,1.402624459,-1.146247221,-1.274889839,-0.688009278
-0.833500461,-1.784091812,-1.215573937,-1.276187303,0.856000602,-0.756685396,-0.792319644,-1.463544065,-1.163553852,1.968417417,-1.146247221,-1.274889839,-0.688009278
-0.833500461,0.585238865,0.519476041,0.909692488,-0.819219326,-1.306104793,0.257818297,-0.910576059,0.965909088,-0.294754415,-1.146247221,-0.711644857,-0.688009278
-0.833500461,0.585238865,1.097826034,0.36322254,1.972813887,0.342153397,1.307956238,0.748327961,0.965909088,-0.294754415,1.010634874,0.414845106,1.598509118
-0.283324267,0.585238865,-0.637223944,0.909692488,0.297593959,0.891572793,1.307956238,-0.357608052,0.965909088,0.836831501,-0.067806174,0.414845106,-0.688009278
1.367204313,0.585238865,-0.637223944,0.909692488,-0.260812683,-0.756685396,0.257818297,0.195359954,0.965909088,-0.294754415,-0.607026697,-0.711644857,-0.688009278
0.81702812,0.585238865,-0.058873951,-0.729717355,0.856000602,1.44099219,0.257818297,1.854263974,2.030640558,1.402624459,-1.146247221,-0.148399875,-0.688009278
2.4675567,1.769904204,0.519476041,2.002632383,1.414407245,0.891572793,1.307956238,-1.463544065,2.030640558,0.836831501,-0.607026697,0.414845106,1.598509118
0.81702812,-0.599426474,-0.637223944,-0.183247408,-0.819219326,0.891572793,-0.792319644,-0.910576059,0.965909088,-0.860547373,0.47141435,-0.148399875,-0.688009278
2.4675567,-0.007093804,-0.637223944,-1.276187303,-0.819219326,-0.756685396,-0.792319644,-1.463544065,-0.098822382,1.968417417,-0.067806174,-0.148399875,-0.688009278
-0.833500461,0.585238865,1.097826034,-0.183247408,-0.819219326,0.342153397,-0.792319644,-0.357608052,-0.631188117,-0.294754415,-0.067806174,-0.711644857,-0.688009278
-0.833500461,-1.784091812,-1.793923929,-1.276187303,-0.819219326,-0.756685396,-0.267250674,-1.463544065,-1.163553852,-0.860547373,-0.607026697,-0.148399875,-0.688009278
